//Section   Type   Level   Dur   Skill   Luck   Option   Excellent   Price
13          43     0       0     0       0      0        0           100	0	0	0	255	255	255	255	255
13          44     0       0     0       0      0        0            36	0	0	0	255	255	255	255	255
13          45     0       0     0       0      0        0            24	0	0	0	255	255	255	255	255
14          55     0       0     0       0      0        0            36	0	0	0	255	255	255	255	255
14          56     0       0     0       0      0        0            72	0	0	0	255	255	255	255	255
14          57     0       0     0       0      0        0           144	0	0	0	255	255	255	255	255
14          11     10       0     0       0      0        0          144	0	0	0	255	255	255	255	255
14          11     11       0     0       0      0        0          144	0	0	0	255	255	255	255	255
7          10     10       0     1       1      7        63          144	0	0	0	255	255	255	255	255
7          10     11       0     0       0      0        0           144	0	0	0	255	255	255	255	255
end

