//Section   Type   Level   Dur   Skill   Luck   Option   Excellent
14          0      0       1     0       0      0        0	0	0	0	255	255	255	255	255
14          1      0       1     0       0      0        0	0	0	0	255	255	255	255	255
14          2      0       1     0       0      0        0	0	0	0	255	255	255	255	255
14          3      0       1     0       0      0        0	0	0	0	255	255	255	255	255
14          4      0       1     0       0      0        0	0	0	0	255	255	255	255	255
14          5      0       1     0       0      0        0	0	0	0	255	255	255	255	255
14          6      0       1     0       0      0        0	0	0	0	255	255	255	255	255
14          8      0       1     0       0      0        0	0	0	0	255	255	255	255	255
13          7      1       1     0       0      0        0	0	0	0	255	255	255	255	255
14          10     0       1     0       0      0        0	0	0	0	255	255	255	255	255
13          29     0       1     0       0      0        0	0	0	0	255	255	255	255	255
end

