//Section   Type   Level   Dur   Skill   Luck   Option   Excellent
12          1      0       0     0       0      0        0	0	0	0	255	255	255	255	255
12          0      0       0     0       0      0        0	0	0	0	255	255	255	255	255
13          30     0       0     0       0      0        0	0	0	0	255	255	255	255	255
12          2      0       0     0       0      0        0	0	0	0	255	255	255	255	255
14          13     0       0     0       0      0        0	0	0	0	255	255	255	255	255
14          16     0       0     0       0      0        0	0	0	0	255	255	255	255	255
12          15     0       0     0       0      0        0	0	0	0	255	255	255	255	255
14          14     0       0     0       0      0        0	0	0	0	255	255	255	255	255
12          35     0       0     0       0      0        0	0	0	0	255	255	255	255	255
15          8      0       0     0       0      0        0	0	0	0	255	255	255	255	255
15          29     0       0     0       0      0        0	0	0	0	255	255	255	255	255
15          27     0       0     0       0      0        0	0	0	0	255	255	255	255	255
15          23     0       0     0       0      0        0	0	0	0	255	255	255	255	255
15          21     0       0     0       0      0        0	0	0	0	255	255	255	255	255
12          42     0       0     0       0      0        0	0	0	0	255	255	255	255	255
12          45     0       0     0       0      0        0	0	0	0	255	255	255	255	255
15          15     0       0     0       0      0        0	0	0	0	255	255	255	255	255
15          17     0       0     0       0      0        0	0	0	0	255	255	255	255	255
14          169    0       0     0       0      0        0	0	0	0	255	255	255	255	255
14          163    0       0     0       0      0        0	0	0	0	255	255	255	255	255
14          111    0       0     0       0      0        0	0	0	0	255	255	255	255	255
14          109    0       0     0       0      0        0	0	0	0	255	255	255	255	255
14          102    0       0     0       0      0        0	0	0	0	255	255	255	255	255
13          106    0       0     0       0      0        0	0	0	0	255	255	255	255	255
13          95     0       0     0       0      0        0	0	0	0	255	255	255	255	255
0           26     0       0     0       0      0        0	0	0	0	254	254	254	255	255
end
