00:06:12 [AccountInfo] Account connected (Account: louismk, IpAddress: 192.168.0.104, GameServerCode: 0)
00:07:13 [AccountInfo] Account disconnected (Account: louismk, IpAddress: 192.168.0.104, GameServerCode: 0)
00:11:06 [AccountInfo] Account connected (Account: louismk, IpAddress: 192.168.0.104, GameServerCode: 0)
00:12:07 [AccountInfo] Account disconnected (Account: louismk, IpAddress: 192.168.0.104, GameServerCode: 0)
00:14:16 [AccountInfo] Account connected (Account: louismk, IpAddress: 192.168.0.104, GameServerCode: 0)
00:14:56 [AccountInfo] Account disconnected (Account: louismk, IpAddress: 192.168.0.104, GameServerCode: 0)
00:16:32 [AccountInfo] Account connected (Account: louismk, IpAddress: 192.168.0.104, GameServerCode: 0)
00:16:54 [AccountInfo] Account disconnected (Account: louismk, IpAddress: 192.168.0.104, GameServerCode: 0)
00:17:17 [AccountInfo] Account connected (Account: louismk, IpAddress: 192.168.0.104, GameServerCode: 0)
00:18:51 [AccountInfo] Account disconnected (Account: louismk, IpAddress: 192.168.0.104, GameServerCode: 0)
00:19:12 [AccountInfo] Account connected (Account: louismk, IpAddress: 192.168.0.104, GameServerCode: 0)
00:19:19 [AccountInfo] Account disconnected (Account: louismk, IpAddress: 192.168.0.104, GameServerCode: 0)
00:26:05 [AccountInfo] Account connected (Account: louismk, IpAddress: 192.168.0.104, GameServerCode: 0)
00:27:05 [AccountInfo] Account disconnected (Account: louismk, IpAddress: 192.168.0.104, GameServerCode: 0)
00:28:11 [AccountInfo] Account connected (Account: louismk, IpAddress: 192.168.0.104, GameServerCode: 0)
00:30:34 [AccountInfo] Account disconnected (Account: louismk, IpAddress: 192.168.0.104, GameServerCode: 0)
00:34:05 [AccountInfo] Account connected (Account: louismk, IpAddress: 192.168.0.104, GameServerCode: 0)
00:35:54 [AccountInfo] Account disconnected (Account: louismk, IpAddress: 192.168.0.104, GameServerCode: 0)
00:36:41 [AccountInfo] Account connected (Account: louismk, IpAddress: 192.168.0.104, GameServerCode: 0)
00:37:41 [AccountInfo] Account disconnected (Account: louismk, IpAddress: 192.168.0.104, GameServerCode: 0)
12:01:56 [AccountInfo] Account connected (Account: louismk, IpAddress: 192.168.0.104, GameServerCode: 0)
12:02:27 [AccountInfo] Account disconnected (Account: louismk, IpAddress: 192.168.0.104, GameServerCode: 0)
12:18:58 [AccountInfo] Account connected (Account: louismk, IpAddress: 192.168.0.104, GameServerCode: 0)
12:19:18 [AccountInfo] Account disconnected (Account: louismk, IpAddress: 192.168.0.104, GameServerCode: 0)
12:31:14 [AccountInfo] Account connected (Account: louismk, IpAddress: 192.168.0.104, GameServerCode: 0)
12:31:43 [AccountInfo] Account disconnected (Account: louismk, IpAddress: 192.168.0.104, GameServerCode: 0)
12:32:08 [AccountInfo] Account connected (Account: louismk, IpAddress: 192.168.0.104, GameServerCode: 0)
13:02:06 [AccountInfo] Account disconnected by clear (Account: louismk, IpAddress: 192.168.0.104, GameServerCode: 0)
13:02:58 [AccountInfo] Account connected (Account: louismk, IpAddress: 192.168.0.104, GameServerCode: 0)
13:02:58 [AccountInfo] Account disconnected by clear (Account: louismk, IpAddress: 192.168.0.104, GameServerCode: 0)
13:08:18 [AccountInfo] Account connected (Account: louismk, IpAddress: 192.168.0.104, GameServerCode: 0)
13:08:27 [AccountInfo] Account disconnected (Account: louismk, IpAddress: 192.168.0.104, GameServerCode: 0)
13:09:59 [AccountInfo] Account connected (Account: louismk, IpAddress: 192.168.0.104, GameServerCode: 0)
13:09:59 [AccountInfo] Account disconnected by clear (Account: louismk, IpAddress: 192.168.0.104, GameServerCode: 0)
13:11:27 [AccountInfo] Account connected (Account: louismk, IpAddress: 192.168.0.104, GameServerCode: 0)
13:11:27 [AccountInfo] Account disconnected by clear (Account: louismk, IpAddress: 192.168.0.104, GameServerCode: 0)
13:18:57 [AccountInfo] Account connected (Account: louismk, IpAddress: 192.168.0.104, GameServerCode: 0)
13:18:57 [AccountInfo] Account disconnected by clear (Account: louismk, IpAddress: 192.168.0.104, GameServerCode: 0)
13:28:38 [AccountInfo] Account connected (Account: louismk, IpAddress: 192.168.0.104, GameServerCode: 0)
13:28:38 [AccountInfo] Account disconnected by clear (Account: louismk, IpAddress: 192.168.0.104, GameServerCode: 0)
13:56:04 [AccountInfo] Account connected (Account: louismk, IpAddress: 192.168.0.104, GameServerCode: 0)
13:56:04 [AccountInfo] Account disconnected by clear (Account: louismk, IpAddress: 192.168.0.104, GameServerCode: 0)
14:02:38 [AccountInfo] Account connected (Account: louismk, IpAddress: 192.168.0.104, GameServerCode: 0)
14:03:38 [AccountInfo] Account disconnected (Account: louismk, IpAddress: 192.168.0.104, GameServerCode: 0)
14:04:49 [AccountInfo] Account connected (Account: louismk, IpAddress: 192.168.0.104, GameServerCode: 0)
14:05:42 [AccountInfo] Account disconnected by clear (Account: louismk, IpAddress: 192.168.0.104, GameServerCode: 0)
14:06:07 [AccountInfo] Account connected (Account: louismk, IpAddress: 192.168.0.104, GameServerCode: 0)
