//Section   Type   Level
0	    0	   4
0	    1	   4
0	    2	   4
0	    4	   4
1	    0	   4
1	    1	   4
1	    2	   4
2	    0	   4
2	    1	   4
2	    2	   4
3	    1	   4
3	    2	   4
3	    3	   4
3	    5	   4
3	    6	   4
4	    0	   4
4	    1	   4
4	    2	   4
4	    3	   4
4	    8	   4
4	    9	   4
4	    10	   4
4	    11	   4
5	    0	   4
5	    1	   4
5	    2	   4
6	    0	   4
6	    1	   4
6	    2	   4
6	    3	   4
6	    4	   4
6	    6	   4
6	    7	   4
6	    9	   4
6	    10	   4
7	    0	   4
7	    2	   4
7	    4	   4
7	    5	   4
7	    6	   4
7	    7	   4
7	    8	   4
7	    10	   4
7	    11	   4
7	    12	   4
8	    0	   4
8	    2	   4
8	    4	   4
8	    5	   4
8	    6	   4
8	    7	   4
8	    8	   4
8	    10	   4
8	    11	   4
8	    12	   4
9	    0	   4
9	    2	   4
9	    4	   4
9	    5	   4
9	    6	   4
9	    7	   4
9	    8	   4
9	    10	   4
9	    11	   4
9	    12	   4
10	    0	   4
10	    2	   4
10	    4	   4
10	    5	   4
10	    6	   4
10	    7	   4
10	    8	   4
10	    10	   4
10	    11	   4
10	    12	   4
11	    0	   4
11	    2	   4
11	    4	   4
11	    5	   4
11	    6	   4
11	    7	   4
11	    8	   4
11	    10	   4
11	    11	   4
11	    12	   4
end
