//Category   BaseIndex   MainIndex   ItemIndex   CoinIndex   CoinValue   BonusGP   ProductBaseIndex1   ProductBaseIndex2   ProductBaseIndex3   ProductBaseIndex4   ProductBaseIndex5   ProductBaseIndex6   ProductBaseIndex7   ProductBaseIndex8   ProductBaseIndex9   ProductBaseIndex10   ProductMainIndex1   ProductMainIndex2   ProductMainIndex3   ProductMainIndex4   ProductMainIndex5   ProductMainIndex6   ProductMainIndex7   ProductMainIndex8   ProductMainIndex9   ProductMainIndex10
13           1           145         6780        508         1570        0         95                  96                  97                  98                  99                  100                 0                   0                   0                   0                    0                   0                   0                   0                   0                   0                   0                   0                   0                   0
13           2           143         6780        508         1570        0         95                  96                  97                  98                  99                  100                 0                   0                   0                   0                    0                   0                   0                   0                   0                   0                   0                   0                   0                   0
13           3           260         7330        508         690         0         281                 0                   0                   0                   0                   0                   0                   0                   0                   0                    349                 0                   0                   0                   0                   0                   0                   0                   0                   0
13           4           258         7331        508         2490        0         282                 0                   0                   0                   0                   0                   0                   0                   0                   0                    350                 0                   0                   0                   0                   0                   0                   0                   0                   0
13           5           187         7305        508         0           0         149                 0                   0                   0                   0                   0                   0                   0                   0                   0                    209                 0                   0                   0                   0                   0                   0                   0                   0                   0
13           6           162         7302        508         500         0         115                 116                 118                 119                 120                 121                 122                 0                   0                   0                    0                   0                   0                   0                   0                   0                   0                   0                   0                   0
13           7           98          7221        508         100         0         22                  0                   0                   0                   0                   0                   0                   0                   0                   0                    37                  38                  0                   0                   0                   0                   0                   0                   0                   0
13           8           114         6710        508         250         0         14                  0                   0                   0                   0                   0                   0                   0                   0                   0                    24                  0                   0                   0                   0                   0                   0                   0                   0                   0
13           9           112         6711        508         250         0         15                  0                   0                   0                   0                   0                   0                   0                   0                   0                    25                  0                   0                   0                   0                   0                   0                   0                   0                   0
13           10          110         6712        508         250         0         16                  0                   0                   0                   0                   0                   0                   0                   0                   0                    26                  0                   0                   0                   0                   0                   0                   0                   0                   0
13           11          108         6713        508         250         0         17                  0                   0                   0                   0                   0                   0                   0                   0                   0                    27                  0                   0                   0                   0                   0                   0                   0                   0                   0
13           12          106         6714        508         250         0         18                  0                   0                   0                   0                   0                   0                   0                   0                   0                    28                  0                   0                   0                   0                   0                   0                   0                   0                   0
13           13          126         7259        508         500         0         31                  0                   0                   0                   0                   0                   0                   0                   0                   0                    53                  0                   0                   0                   0                   0                   0                   0                   0                   0
14           1           70          6725        508         50          0         40                  0                   0                   0                   0                   0                   0                   0                   0                   0                    66                  0                   0                   0                   0                   0                   0                   0                   0                   0
14           2           68          6726        508         40          0         41                  0                   0                   0                   0                   0                   0                   0                   0                   0                    67                  0                   0                   0                   0                   0                   0                   0                   0                   0
22           1           124         6699        508         100         0         9                   0                   0                   0                   0                   0                   0                   0                   0                   0                    9                   10                  11                  12                  0                   0                   0                   0                   0                   0
22           2           122         6700        508         150         0         10                  0                   0                   0                   0                   0                   0                   0                   0                   0                    13                  14                  15                  16                  0                   0                   0                   0                   0                   0
22           3           120         6701        508         80          0         11                  0                   0                   0                   0                   0                   0                   0                   0                   0                    17                  18                  19                  0                   0                   0                   0                   0                   0                   0
22           4           74          6718        508         120         0         38                  0                   0                   0                   0                   0                   0                   0                   0                   0                    62                  63                  0                   0                   0                   0                   0                   0                   0                   0
