2
//State   Map   X      Y
3	  34	43     61
3	  34	47     55
3	  34	54     46
3	  34	63     40
3	  34	70     41
3	  34	79     33
3	  34	79     52
3	  34	87     63
3	  34	86     81
3	  34	82     97
3	  34	77     112
3	  34	70     112
3	  34	80     138
3	  34	88     149
3	  34	99     169
3	  34	108    186
3	  34	112    200
3	  34	115    168
3	  34	120    155
3	  34	123    141
3	  34	123    126
3	  34	120    112
3	  34	116    103
3	  34	111    98
3	  34	116    88
3	  34	114    76
3	  34	102    76
3	  34	136    74
3	  34	152    63
3	  34	125    75
3	  34	145    67
3	  34	162    55
3	  34	170    47
3	  34	173    37
3	  34	183    35
3	  34	192    42
3	  34	199    48
3	  34	207    59
3	  34	205    49
3	  34	212    69
3	  34	215    78
3	  34	216    89
3	  34	227    89
3	  34	235    100
3	  34	235    121
3	  34	222    120
3	  34	210    105
3	  34	189    83
3	  34	175    83
3	  34	203    86
3	  34	164    85
3	  34	154    83
3	  34	142    83
3	  34	213    116
3	  34	207    123
3	  34	204    130
3	  34	202    138
3	  34	197    144
3	  34	185    150
3	  34	176    151
3	  34	166    150
3	  34	164    140
3	  34	162    127
3	  34	158    120
3	  34	153    111
3	  34	148    104
3	  34	144    98
3	  34	138    89
3	  34	125    86
3	  34	158    155
3	  34	153    159
3	  34	148    164
3	  34	145    170
3	  34	144    176
3	  34	143    182
3	  34	142    192
3	  34	135    198
3	  34	123    201
3	  34	156    193
3	  34	164    193
3	  34	176    194
3	  34	184    199
3	  34	196    199
3	  34	205    200
3	  34	217    193
3	  34	224    186
3	  34	232    174
3	  34	235    159
3	  34	235    140
3	  34	229    128
3	  34	235    109
3	  34	160    206
3	  34	145    204
3	  34	153    215
3	  34	144    220
3	  34	143    211
3	  34	169    208
3	  34	170    220
3	  34	161    224
3	  34	111    213
3	  34	99     199
3	  34	86     201
3	  34	81     208
3	  34	73     214
3	  34	63     209
3	  34	54     203
3	  34	48     196
3	  34	46     183
3	  34	47     175
3	  34	52     166
3	  34	56     159
3	  34	62     152
3	  34	68     146
3	  34	60     113
3	  34	52     118
3	  34	46     123
3	  34	39     126
3	  34	31     122
3	  34	26     119
3	  34	20     114
3	  34	22     102
3	  34	25     93
3	  34	30     84
3	  34	34     76
3	  34	39     68
3	  34	16     123
3	  34	15     132
3	  34	15     140
3	  34	24     130
3	  34	15     148
3	  34	19     159
3	  34	30     170
3	  34	38     174
3	  34	71     22
3	  34	65     29
3	  34	94     159
3	  34	77     130
3	  34	74     123
3	  34	85     89
3	  34	94     80
3	  34	86     71
3	  34	140    71
3	  34	103    208
3	  34	207    94
3	  34	176    166
3	  34	173    176
3	  34	168    185
3	  34	75     27
3	  34	68     212
3	  34	97     178
3	  34	93     188
3	  34	91     195
3	  34	115    181
3	  34	65     200
3	  34	170    200
3	  34	29     133
3	  34	120    63
3	  34	120    58
3	  34	120    52
3	  34	120    48
3	  34	120    43
3	  34	120    38
3	  34	113    46
3	  34	110    42
3	  34	106    38
3	  34	84     32
3	  34	88     31
3	  34	94     31
3	  34	99     31
3	  34	103    31
3	  34	157    32
3	  34	152    32
3	  34	147    32
3	  34	141    31
3	  34	136    31
3	  34	130    31
3	  34	126    31
3	  34	124    26
3	  34	121    25
3	  34	114    31
3	  34	109    31
3	  34	116    36
3	  34	130    21
3	  34	126    16
3	  34	136    23
3	  34	119    15
3	  34	111    17
3	  34	129    45
3	  34	139    38
3	  34	128    38
3	  34	106    23
3	  34	113    22
3	  34	117    27
3	  34	125    36
3	  34	81     28
3	  34	75     20
3	  34	73     16
3	  34	73     36
3	  34	81     39
3	  34	77     44
3	  34	67     36
3	  34	178    37
3	  34	168    37
3	  34	162    32
3	  34	165    33
3	  34	187    39
3	  34	176    32
3	  34	170    30
3	  34	120    69
3	  34	157    59
3	  34	119    79
3	  34	119    74
3	  34	78     24
3	  34	83     57
3	  34	109    79
3	  34	116    69
3	  34	164    39
3	  34	160    35
3	  34	168    43
3	  34	135    42
3	  34	124    117
end
